text,label
The president announced a new policy today.,0
Aliens have landed in New York and taken over the subway.,1
Scientists discovered a new species of bird in the Amazon.,0
"The moon is made of cheese, claims anonymous source.",1
"Vaccines cause autism, according to unverified reports.",1
Government releases documents about UFOs.,0
New study shows coffee improves heart health.,0
Flat Earth theory gains popularity online.,1
Local man saves cat from tree using drone.,0
NASA confirms water found on Mars.,0
